date_,store,department,item,unit_price,quantity,on_promotion,promotion_type
20120102,326,3,590267,1.94,,N,0
20120102,326,4,82660,3.7,,Y,6
20120102,326,4,82686,1.46,,N,0
20120102,326,4,82701,2.95,,N,0
20120102,326,4,255476,2.2,,N,0
20120102,326,4,255489,2.21,,Y,6
20120102,326,4,255494,1.45,,N,0
20120102,326,4,335757,3.7,,Y,5
20120102,326,4,335781,2.36,,N,0
20120102,326,4,345376,3,,N,0
20120102,326,4,407217,1.91,,Y,6
20120102,326,4,409559,3.71,,N,0
20120102,326,4,411406,4.46,,N,0
20120102,326,4,431714,2.66,,N,0
20120102,326,4,455721,3.71,,Y,6
20120102,326,4,467757,5.25,,N,0
20120102,326,4,495886,5.96,,N,0
20120102,326,4,501396,3.7,,Y,5
20120102,326,4,530037,5.96,,N,0
20120102,326,4,532196,2.66,,N,0
20120102,326,4,536428,4.46,,N,0
20120102,326,4,555947,5.96,,N,0
20120102,352,1,593171,10,,N,0
20120102,352,2,22631,12.84,,N,0
20120102,352,2,423218,14.91,,Y,6
20120102,352,2,487331,9,,N,0
20120102,352,2,487334,9,,N,0
20120102,352,2,533283,6,,N,0
20120102,352,2,540535,6,,N,0
20120102,352,2,568499,3,,Y,6
20120102,352,2,570153,12,,N,0
20120102,352,2,586937,3,,N,0
20120102,352,2,592729,11.31,,N,0
20120102,352,3,3683,1.76,,Y,5
20120102,352,3,20376,7.54,,N,0
20120102,352,3,90263,11.94,,Y,6
20120102,352,3,194771,4.18,,N,0
20120102,352,3,194781,7.34,,Y,5
20120102,352,3,417014,4,,N,0
20120102,352,3,447058,11.98,,Y,6
20120102,352,3,471651,9.94,,N,0
20120102,352,3,515246,5,,N,0
20120102,352,3,573599,4.4,,N,0
20120102,352,3,573602,4.4,,N,0
20120102,352,3,573607,4.4,,N,0
20120102,352,3,573609,4.4,,N,0
20120102,352,3,587131,5.54,,N,0
20120102,352,3,590267,2,,N,0
20120102,352,4,82660,4.16,,Y,6
20120102,352,4,82686,1.91,,N,0
20120102,352,4,82701,2.51,,N,0
20120102,352,4,183628,2.5,,N,0
20120102,352,4,255476,1.91,,N,0
20120102,352,4,255489,2.2,,Y,6
20120102,352,4,255494,1.91,,N,0
20120102,352,4,335757,3.7,,Y,5
20120102,352,4,335781,2.36,,N,0
20120102,352,4,345376,3,,N,0
20120102,352,4,407217,1.91,,Y,6
20120102,352,4,409559,2.95,,N,0
20120102,352,4,411406,4.46,,N,0
20120102,352,4,431714,2.2,,N,0
20120102,352,4,455721,4.46,,Y,6
20120102,352,4,467757,3.75,,N,0
20120102,352,4,501396,3.7,,Y,5
20120102,352,4,530037,5.95,,N,0
20120102,352,4,532196,2.2,,N,0
20120102,352,4,536428,4.45,,N,0
20120102,352,4,555947,6.71,,N,0
20120102,357,1,70400,70,,N,0
20120102,357,1,466879,12,,N,0
20120102,357,2,8598,6.39,,Y,6
20120102,357,2,22631,12.84,,N,0
20120102,357,2,423218,14.91,,Y,6
20120102,357,2,451332,29.82,,N,0
20120102,357,2,482591,23.94,,N,0
20120102,357,2,487331,9,,N,0
20120102,357,2,487334,9,,N,0
20120102,357,2,516965,14.91,,Y,6
20120102,357,2,540535,6,,N,0
20120102,357,2,568499,3,,Y,6
20120102,357,2,570153,11.91,,N,0
20120102,357,2,586937,3,,N,0
20120102,357,2,592729,11.31,,N,0
20120102,357,3,3683,1.76,,Y,5
20120102,357,3,36907,7.94,,N,0
20120102,357,3,90263,11.94,,Y,6
20120102,357,3,92418,2.34,,N,0
20120102,357,3,108037,3.98,,N,0
20120102,357,3,194771,3.94,,N,0
20120102,357,3,194781,7.34,,Y,5
20120102,357,3,280116,8.94,,N,0
20120102,357,3,346126,21.94,,N,0
20120102,357,3,417014,4,,N,0
20120102,357,3,447058,11.98,,Y,6
20120102,357,3,456076,4,,Y,5
20120102,357,3,496031,17.94,,Y,6
20120102,357,3,573599,4.54,,N,0
20120102,357,3,573607,4.54,,N,0
20120102,357,3,573609,4.54,,N,0
20120102,357,3,587131,5.54,,N,0
20120102,357,3,590267,1.94,,N,0
20120102,357,4,82660,4.45,,Y,6
20120102,357,4,82686,1.45,,N,0
20120102,357,4,82689,3.7,,N,0
20120102,357,4,82701,2.66,,N,0
20120102,357,4,255476,2.24,,N,0
20120102,357,4,255489,2.66,,Y,6
20120102,357,4,255494,1.45,,N,0
20120102,357,4,335757,3.7,,Y,5
20120102,357,4,335781,2.69,,N,0
20120102,357,4,345376,2.52,,N,0
20120102,357,4,407217,1.91,,Y,6
20120102,357,4,409559,3.7,,N,0
20120102,357,4,411406,5.96,,N,0
20120102,357,4,431714,2.2,,N,0
20120102,357,4,455721,4.46,,Y,6
20120102,357,4,467757,5.95,,N,0
20120102,357,4,501396,3.7,,Y,5
20120102,357,4,530037,5.95,,N,0
20120102,357,4,532196,2.2,,N,0
20120102,357,4,536428,5.96,,N,0
20120102,357,4,555947,6.71,,N,0
20120102,362,1,346366,10,,N,0
20120102,362,1,502627,12,,N,0
20120102,362,1,544579,4,,N,0
20120102,362,2,8598,6.39,,Y,6
20120102,362,2,22631,12.84,,N,0
20120102,362,2,404470,12.54,,N,0
20120102,362,2,423218,14.91,,Y,6
20120102,362,2,482591,23.94,,N,0
20120102,362,2,487334,9,,N,0
20120102,362,2,516965,14.91,,Y,6
20120102,362,2,533283,6,,N,0
20120102,362,2,540535,6,,N,0
20120102,362,2,568499,3,,Y,6
20120102,362,2,570153,11.91,,N,0
20120102,362,2,577654,25.41,,N,0
20120102,362,2,586937,3,,N,0
20120102,362,2,592729,11.31,,N,0
20120102,362,3,3683,1.76,,Y,5
20120102,362,3,20376,7.54,,N,0
20120102,362,3,36907,7.94,,N,0
20120102,362,3,90263,11.94,,Y,6
20120102,362,3,108037,3,,Y,4
20120102,362,3,153171,8,,N,0
20120102,362,3,194771,3.94,,N,0
20120102,362,3,194781,7.34,,Y,5
20120102,362,3,228016,10,,Y,4
20120102,362,3,280116,6.94,,N,0
20120102,362,3,417014,4,,N,0
20120102,362,3,447058,11.98,,Y,6
20120102,362,3,456076,4,,Y,5
20120102,362,3,471651,7.94,,N,0
20120102,362,3,573599,4.54,,N,0
20120102,362,3,573602,4.54,,N,0
20120102,362,3,573607,4.54,,N,0
20120102,362,3,573609,4.54,,N,0
20120102,362,3,587131,5.54,,N,0
20120102,362,3,590267,1.94,,N,0
20120102,362,4,82660,3.71,,Y,6
20120102,362,4,82686,1.46,,N,0
20120102,362,4,82689,3.7,,N,0
20120102,362,4,82701,2.95,,N,0
20120102,362,4,183628,2.5,,N,0
20120102,362,4,255476,2.2,,N,0
20120102,362,4,255489,2.2,,Y,6
20120102,362,4,255494,1.45,,N,0
20120102,362,4,335781,2.36,,N,0
20120102,362,4,345376,2.52,,N,0
20120102,362,4,407217,1.91,,Y,6
20120102,362,4,409559,3.7,,N,0
20120102,362,4,411406,4.45,,N,0
20120102,362,4,431714,2.66,,N,0
20120102,362,4,455721,3.7,,Y,6
20120102,362,4,467757,5.95,,N,0
20120102,362,4,495886,5.95,,N,0
20120102,362,4,501396,3.7,,Y,5
20120102,362,4,530037,5.95,,N,0
20120102,362,4,532196,2.66,,N,0
20120102,362,4,536428,4.45,,N,0
20120102,362,4,555947,5.95,,N,0
20120102,364,1,593171,10,,N,0
20120102,364,2,8598,6.39,,Y,6
20120102,364,2,22631,12.84,,N,0
20120102,364,2,423218,14.91,,Y,6
20120102,364,2,482591,23.94,,N,0
20120102,364,2,487334,9,,N,0
20120102,364,2,519483,34.32,,N,0
20120102,364,2,533283,6,,N,0
20120102,364,2,568499,3,,Y,6
20120102,364,2,570153,11.91,,N,0
20120102,364,2,577654,25.41,,N,0
20120102,364,2,586937,3,,N,0
20120102,364,2,592729,11.31,,N,0
20120102,364,3,3683,1.76,,Y,5
20120102,364,3,92418,2.34,,N,0
20120102,364,3,108037,3.98,,N,0
20120102,364,3,153171,8,,N,0
20120102,364,3,194781,7.34,,Y,5
20120102,364,3,228016,11.94,,N,0
20120102,364,3,346126,21.94,,N,0
20120102,364,3,417014,4,,N,0
20120102,364,3,447058,11.98,,Y,6
20120102,364,3,456076,4,,Y,5
20120102,364,3,471651,7.94,,N,0
20120102,364,3,496031,17.94,,Y,6
20120102,364,3,515246,4.94,,N,0
20120102,364,3,573607,4.54,,N,0
20120102,364,3,573609,4.54,,N,0
20120102,364,3,587131,5.54,,N,0
20120102,364,3,590267,1.94,,N,0
20120102,364,4,82660,3.7,,Y,6
20120102,364,4,82686,1.46,,N,0
20120102,364,4,82689,3.71,,N,0
20120102,364,4,82701,2.95,,N,0
20120102,364,4,183628,2.5,,N,0
20120102,364,4,255476,2.21,,N,0
20120102,364,4,255489,2.2,,Y,6
20120102,364,4,255494,1.46,,N,0
20120102,364,4,335757,3.7,,Y,5
20120102,364,4,335781,2.36,,N,0
20120102,364,4,345376,2.52,,N,0
20120102,364,4,407217,1.91,,Y,6
20120102,364,4,409559,3.7,,N,0
20120102,364,4,431714,2.66,,N,0
20120102,364,4,455721,3.71,,Y,6
20120102,364,4,467757,4.45,,Y,3
20120102,364,4,489718,5.96,,N,0
20120102,364,4,495886,5.96,,N,0
20120102,364,4,501396,3.7,,Y,5
20120102,364,4,530037,5.95,,N,0
20120102,364,4,532196,2.66,,N,0
20120102,364,4,536428,4.46,,N,0
20120102,364,4,555947,5.96,,N,0
20120102,380,1,346366,10,,N,0
20120102,380,1,593171,10,,N,0
20120102,380,2,8598,6.39,,Y,6
20120102,380,2,22631,12.84,,N,0
20120102,380,2,102257,10.41,,N,0
20120102,380,2,404470,11.91,,Y,3
20120102,380,2,419546,23.94,,N,0
20120102,380,2,423218,14.91,,Y,6
20120102,380,2,482591,23.94,,N,0
20120102,380,2,487331,9,,N,0
20120102,380,2,487334,9,,N,0
20120102,380,2,517989,22.41,,N,0
20120102,380,2,533283,6,,N,0
20120102,380,2,540535,6,,N,0
20120102,380,2,568499,3,,Y,6
20120102,380,2,570153,11.91,,N,0
20120102,380,2,586937,3,,N,0
20120102,380,2,592729,11.31,,N,0
20120102,380,3,3683,1.76,,Y,5
20120102,380,3,20376,7.54,,N,0
20120102,380,3,36907,7.94,,N,0
20120102,380,3,90263,11.94,,Y,6
20120102,380,3,92418,2.34,,N,0
20120102,380,3,108037,3.98,,N,0
20120102,380,3,194771,3.94,,N,0
20120102,380,3,194781,7.34,,Y,5
20120102,380,3,228016,10,,N,0
20120102,380,3,417014,4,,N,0
20120102,380,3,447058,11.98,,Y,6
20120102,380,3,456076,4,,Y,5
20120102,380,3,471651,9.94,,N,0
20120102,380,3,496031,17.94,,Y,6
20120102,380,3,573599,4.54,,N,0
20120102,380,3,573602,4.54,,N,0
20120102,380,3,573607,4.54,,N,0
20120102,380,3,573609,4.54,,N,0
20120102,380,3,587131,5.54,,N,0
20120102,380,3,590267,1.94,,N,0
20120102,380,4,82660,3.7,,Y,6
20120102,380,4,82686,1.45,,N,0
20120102,380,4,82701,2.95,,N,0
20120102,380,4,183628,2.5,,N,0
20120102,380,4,255476,2.2,,N,0
20120102,380,4,255489,2.2,,Y,6
20120102,380,4,255494,1.45,,N,0
20120102,380,4,335757,3.7,,Y,5
20120102,380,4,335781,2.36,,N,0
20120102,380,4,345376,2.52,,N,0
20120102,380,4,407217,1.91,,Y,6
20120102,380,4,409559,2.82,,Y,3
20120102,380,4,411406,4.46,,N,0
20120102,380,4,431714,2.2,,N,0
20120102,380,4,455721,3.7,,Y,6
20120102,380,4,467757,5.95,,N,0
20120102,380,4,495886,5.96,,N,0
20120102,380,4,501396,3.71,,Y,5
20120102,380,4,530037,5.95,,N,0
20120102,380,4,532196,2.66,,N,0
20120102,380,4,536428,4.45,,N,0
20120102,380,4,555947,5.95,,N,0
20120102,383,1,95467,10,,N,0
20120102,383,1,346366,10,,N,0
20120102,383,1,466879,12,,N,0
20120102,383,1,544579,8,,N,0
20120102,383,2,8598,6.39,,N,0
20120102,383,2,263931,17.91,,N,0
20120102,383,2,451332,29.82,,N,0
20120102,383,2,482591,23.94,,N,0
20120102,383,2,487334,9,,N,0
20120102,383,2,568499,3.75,,N,0
20120102,383,2,570153,11.91,,N,0
20120102,383,2,577654,25.41,,N,0
20120102,383,2,586937,3,,N,0
20120102,383,2,592729,11.31,,N,0
20120102,383,3,3683,1.76,,Y,5
20120102,383,3,20376,7.54,,N,0
20120102,383,3,36907,7.94,,N,0
20120102,383,3,90263,12.94,,N,0
20120102,383,3,92418,2.34,,N,0
20120102,383,3,92433,2.34,,N,0
20120102,383,3,108037,3.98,,N,0
20120102,383,3,153171,8,,N,0
20120102,383,3,194771,3.94,,N,0
20120102,383,3,194781,7.34,,Y,5
20120102,383,3,280116,8.94,,N,0
20120102,383,3,417014,4,,N,0
20120102,383,3,456076,4,,Y,5
20120102,383,3,471651,7.94,,N,0
20120102,383,3,515246,4.94,,N,0
20120102,383,3,573599,4.54,,N,0
20120102,383,3,573602,4.54,,N,0
20120102,383,3,573609,4.54,,N,0
20120102,383,3,587131,5.54,,N,0
20120102,383,3,590267,1.94,,N,0
20120102,383,4,82660,3.7,,Y,6
20120102,383,4,82686,1.88,,N,0
20120102,383,4,82701,1.48,,N,0
20120102,383,4,183628,1.48,,Y,2
20120102,383,4,255476,2.2,,N,0
20120102,383,4,255489,2.2,,Y,6
20120102,383,4,255494,1.46,,N,0
20120102,383,4,335757,3.7,,Y,5
20120102,383,4,335781,2.25,,N,0
20120102,383,4,345376,3.38,,N,0
20120102,383,4,407217,1.91,,Y,6
20120102,383,4,409559,3.7,,N,0
20120102,383,4,411406,4.5,,N,0
20120102,383,4,431714,1.88,,N,0
20120102,383,4,467757,5.95,,N,0
20120102,383,4,495886,5.21,,N,0
20120102,383,4,501396,3.7,,Y,5
20120102,383,4,530037,4.5,,N,0
20120102,383,4,532196,2.25,,N,0
20120102,383,4,536428,4.5,,N,0
20120102,383,4,555947,5.96,,N,0
20120102,390,1,70400,60,,N,0
20120102,390,1,95467,10,,N,0
20120102,390,1,95470,10,,N,0
20120102,390,1,544579,4,,N,0
20120102,390,1,593171,10,,N,0
20120102,390,2,8598,6.39,,Y,6
20120102,390,2,22631,12.84,,N,0
20120102,390,2,404470,12.54,,N,0
20120102,390,2,423218,14.91,,Y,6
20120102,390,2,451332,29.82,,N,0
20120102,390,2,486878,7.41,,N,0
20120102,390,2,487331,9,,N,0
20120102,390,2,516965,14.91,,Y,6
20120102,390,2,519483,34.32,,N,0
20120102,390,2,533283,6,,N,0
20120102,390,2,568499,3,,Y,6
20120102,390,2,570153,11.91,,N,0
20120102,390,2,586937,3,,N,0
20120102,390,2,592729,11.31,,N,0
20120102,390,3,3683,1.76,,Y,5
20120102,390,3,20376,7.54,,N,0
20120102,390,3,36907,7.94,,N,0
20120102,390,3,90263,11.94,,Y,6
20120102,390,3,92418,2.34,,N,0
20120102,390,3,92433,2.34,,N,0
20120102,390,3,108037,3.98,,N,0
20120102,390,3,153171,8,,N,0
20120102,390,3,194771,3.94,,N,0
20120102,390,3,194781,7.34,,Y,5
20120102,390,3,280116,8.94,,N,0
20120102,390,3,417014,4,,N,0
20120102,390,3,447058,11.98,,Y,6
20120102,390,3,456076,4,,Y,5
20120102,390,3,471651,7.94,,N,0
20120102,390,3,496031,17.94,,Y,6
20120102,390,3,573599,4.54,,N,0
20120102,390,3,573602,4.54,,N,0
20120102,390,3,573607,4.54,,N,0
20120102,390,3,573609,4.54,,N,0
20120102,390,3,587131,5.54,,N,0
20120102,390,3,590267,1.94,,N,0
20120102,390,4,82660,3.71,,Y,6
20120102,390,4,82686,1.45,,N,0
20120102,390,4,82689,3.71,,N,0
20120102,390,4,82701,2.95,,N,0
20120102,390,4,183628,2.51,,N,0
20120102,390,4,255476,2.2,,N,0
20120102,390,4,255489,2.2,,Y,6
20120102,390,4,255494,1.45,,N,0
20120102,390,4,335781,2.36,,N,0
20120102,390,4,345376,2.52,,N,0
20120102,390,4,407217,1.91,,Y,6
20120102,390,4,409559,3.7,,N,0
20120102,390,4,411406,4.45,,N,0
20120102,390,4,431714,2.66,,N,0
20120102,390,4,455721,3.7,,Y,6
20120102,390,4,467757,5.95,,N,0
20120102,390,4,495886,5.96,,N,0
20120102,390,4,501396,3.7,,Y,5
20120102,390,4,530037,5.95,,N,0
20120102,390,4,532196,2.66,,N,0
20120102,390,4,536428,4.46,,N,0
20120102,390,4,555947,5.96,,N,0
20120102,398,1,95467,10,,N,0
20120102,398,1,95470,10,,N,0
20120102,398,1,346373,10,,N,0
20120102,398,1,544579,4,,N,0
20120102,398,2,8598,6.39,,Y,6
20120102,398,2,22631,12.84,,N,0
20120102,398,2,419546,23.94,,N,0
20120102,398,2,423218,14.91,,Y,6
20120102,398,2,451332,29.82,,N,0
20120102,398,2,482591,23.94,,N,0
20120102,398,2,487331,9,,N,0
20120102,398,2,487334,9,,N,0
20120102,398,2,533283,6,,N,0
20120102,398,2,540535,6,,N,0
20120102,398,2,568499,3,,Y,6
20120102,398,2,570153,11.91,,N,0
20120102,398,2,586937,3,,N,0
20120102,398,2,592729,11.31,,N,0
20120102,398,3,3683,1.76,,Y,5
20120102,398,3,20376,7.54,,N,0
20120102,398,3,36907,7.94,,N,0
20120102,398,3,90263,11.94,,Y,6
20120102,398,3,108037,3.98,,N,0
20120102,398,3,194771,3.94,,N,0
20120102,398,3,194781,7.34,,Y,5
20120102,398,3,228016,11.94,,N,0
20120102,398,3,280116,6.94,,N,0
20120102,398,3,346126,21.94,,N,0
20120102,398,3,417014,4,,N,0
20120102,398,3,447058,11.98,,Y,6
20120102,398,3,456076,4,,Y,5
20120102,398,3,471651,7.94,,N,0
20120102,398,3,496031,17.94,,Y,6
20120102,398,3,515246,4.94,,N,0
20120102,398,3,573599,4.54,,N,0
20120102,398,3,573602,4.54,,N,0
20120102,398,3,573607,4.54,,N,0
20120102,398,3,573609,4.54,,N,0
20120102,398,3,587131,5.54,,N,0
20120102,398,3,590267,1.94,,N,0
20120102,398,4,82660,3.7,,Y,6
20120102,398,4,82686,1.45,,N,0
20120102,398,4,82689,3.71,,N,0
20120102,398,4,82701,2.95,,N,0
20120102,398,4,183628,2.51,,N,0
20120102,398,4,255476,2.21,,N,0
20120102,398,4,255489,2.2,,Y,6
20120102,398,4,255494,1.45,,N,0
20120102,398,4,335757,3.7,,Y,5
20120102,398,4,335781,2.36,,N,0
20120102,398,4,345376,2.52,,N,0
20120102,398,4,407217,1.91,,Y,6
20120102,398,4,409559,2.82,,Y,3
20120102,398,4,431714,2.66,,N,0
20120102,398,4,455721,3.71,,Y,6
20120102,398,4,467757,5.95,,N,0
20120102,398,4,495886,5.95,,N,0
20120102,398,4,501396,3.7,,Y,5
20120102,398,4,530037,5.95,,N,0
20120102,398,4,532196,2.66,,N,0
20120102,398,4,555947,5.96,,N,0
20120102,401,1,95470,10,,N,0
20120102,401,1,346366,10,,N,0
20120102,401,1,346375,10,,N,0
20120102,401,1,466876,12,,N,0
20120102,401,1,507566,10,,N,0
20120102,401,1,542781,12,,N,0
20120102,401,1,544579,4,,N,0
20120102,401,1,593171,10,,N,0
20120102,401,2,8598,6.39,,Y,6
20120102,401,2,22631,12.84,,N,0
20120102,401,2,404470,12.54,,N,0
20120102,401,2,419546,23.94,,N,0
20120102,401,2,487331,9,,N,0
20120102,401,2,487334,9,,N,0
20120102,401,2,516965,14.91,,Y,6
20120102,401,2,533283,6,,N,0
20120102,401,2,540535,6,,N,0
20120102,401,2,568499,3,,Y,6
20120102,401,2,570153,11.91,,N,0
20120102,401,2,577654,25.41,,N,0
20120102,401,2,586937,3,,N,0
20120102,401,2,592729,11.31,,N,0
20120102,401,3,3683,1.76,,Y,5
20120102,401,3,20376,7.54,,N,0
20120102,401,3,36907,7.94,,N,0
20120102,401,3,90263,11.94,,Y,6
20120102,401,3,92418,2.34,,N,0
20120102,401,3,108037,2.94,,Y,4
20120102,401,3,153171,8,,N,0
20120102,401,3,194771,3.94,,N,0
20120102,401,3,228016,10,,Y,4
20120102,401,3,280116,6.94,,N,0
20120102,401,3,417014,4,,N,0
20120102,401,3,447058,11.98,,Y,6
20120102,401,3,456076,4,,Y,5
20120102,401,3,471651,7.94,,N,0
20120102,401,3,515246,4.94,,N,0
20120102,401,3,573599,4.54,,N,0
20120102,401,3,573602,4.54,,N,0
20120102,401,3,573607,4.54,,N,0
20120102,401,3,587131,5.54,,N,0
20120102,401,3,590267,1.94,,N,0
20120102,401,4,82660,3.7,,Y,6
20120102,401,4,82686,1.46,,N,0
20120102,401,4,82689,3.71,,N,0
20120102,401,4,82701,2.95,,N,0
20120102,401,4,183628,2.5,,N,0
20120102,401,4,255476,2.2,,N,0
20120102,401,4,255476,1.32,,Y,5
20120102,401,4,255489,2.2,,Y,6
20120102,401,4,255494,1.46,,N,0
20120102,401,4,407217,1.91,,Y,6
20120102,401,4,409559,3.7,,N,0
20120102,401,4,431714,2.66,,N,0
20120102,401,4,455721,3.7,,Y,6
20120102,401,4,467757,5.96,,N,0
20120102,401,4,501396,3.7,,Y,5
20120102,401,4,530037,5.95,,N,0
20120102,401,4,532196,2.66,,N,0
20120102,401,4,555947,5.95,,N,0
20120102,408,1,95467,10,,N,0
20120102,408,1,502627,10,,N,0
20120102,408,2,8598,6.39,,Y,6
20120102,408,2,22631,12.84,,N,0
20120102,408,2,102257,8.97,,N,0
20120102,408,2,516965,14.91,,Y,6
20120102,408,2,533283,6,,N,0
20120102,408,2,570153,11.91,,N,0
20120102,408,2,586937,3,,N,0
20120102,408,2,592729,11.31,,N,0
20120102,408,3,3683,1.76,,Y,5
20120102,408,3,20376,7.54,,N,0
20120102,408,3,36907,7.94,,N,0
20120102,408,3,90263,11.94,,Y,6
20120102,408,3,92418,2.34,,N,0
20120102,408,3,92433,2.34,,N,0
20120102,408,3,108037,3.98,,N,0
20120102,408,3,153171,8,,N,0
20120102,408,3,194781,7.34,,Y,5
20120102,408,3,346126,21.94,,N,0
20120102,408,3,417014,3.54,,N,0
20120102,408,3,447058,11.98,,Y,6
20120102,408,3,456076,4,,Y,5
20120102,408,3,471651,7.94,,N,0
20120102,408,3,573599,4.54,,N,0
20120102,408,3,573602,4.54,,N,0
20120102,408,3,573607,4.54,,N,0
20120102,408,3,573609,4.54,,N,0
20120102,408,3,587131,5.54,,N,0
20120102,408,4,82660,3.71,,Y,6
20120102,408,4,82686,1.46,,N,0
20120102,408,4,82701,2.96,,N,0
20120102,408,4,183628,2.5,,N,0
20120102,408,4,255489,2.21,,Y,6
20120102,408,4,335757,3.7,,Y,5
20120102,408,4,335781,2.36,,N,0
20120102,408,4,345376,2.69,,N,0
20120102,408,4,409559,3.71,,N,0
20120102,408,4,411406,4.46,,N,0
20120102,408,4,431714,2.66,,N,0
20120102,408,4,467757,5.96,,N,0
20120102,408,4,495886,4.46,,N,0
20120102,408,4,501396,3.7,,Y,5
20120102,408,4,530037,5.96,,N,0
20120102,408,4,532196,2.66,,N,0
20120102,408,4,536428,4.46,,N,0
20120102,408,4,555947,5.95,,N,0
20120102,417,1,95467,10,,N,0
20120102,417,1,95470,10,,N,0
20120102,417,1,346366,10,,N,0
20120102,417,1,466875,12,,N,0
20120102,417,2,8598,6.39,,Y,6
20120102,417,2,22631,12.84,,N,0
20120102,417,2,419546,23.94,,N,0
20120102,417,2,451332,29.82,,N,0
20120102,417,2,482591,23.94,,N,0
20120102,417,2,487331,9,,N,0
20120102,417,2,487334,9,,N,0
20120102,417,2,516965,14.91,,Y,6
20120102,417,2,517989,22.41,,N,0
20120102,417,2,533283,6,,N,0
20120102,417,2,540535,6,,N,0
20120102,417,2,558749,44.94,,N,0
20120102,417,2,568499,3,,Y,6
20120102,417,2,570153,11.91,,N,0
20120102,417,2,586937,3,,N,0
20120102,417,2,592729,11.31,,N,0
20120102,417,3,3683,1.76,,Y,5
20120102,417,3,20376,8.54,,N,0
20120102,417,3,36907,7.94,,N,0
20120102,417,3,90263,11.94,,Y,6
20120102,417,3,92418,2.34,,N,0
20120102,417,3,108037,2.94,,Y,3
20120102,417,3,153171,8,,N,0
20120102,417,3,194771,3.94,,N,0
20120102,417,3,194781,7.34,,Y,5
20120102,417,3,280116,8.94,,N,0
20120102,417,3,346126,21.94,,N,0
20120102,417,3,417014,4,,N,0
20120102,417,3,456076,4,,Y,5
